-0.94,0.31,0.16,21852
-0.94,0.31,0.16,21861
-0.94,0.31,0.16,21871
-0.94,0.31,0.15,21878
-0.94,0.31,0.15,21887
-0.94,0.31,0.15,21895
-0.94,0.31,0.15,21913
-0.94,0.31,0.15,21922
-0.94,0.31,0.15,21931
-0.94,0.31,0.16,21941
-0.94,0.31,0.15,21949
-0.94,0.31,0.15,21956
-0.94,0.31,0.15,21964
-0.94,0.31,0.15,21973
-0.94,0.31,0.15,21982
-0.94,0.31,0.15,21990
-0.94,0.31,0.15,22000
-0.94,0.31,0.15,22009
-0.94,0.31,0.15,22019
-0.94,0.31,0.15,22026
-0.94,0.31,0.15,22036
-0.94,0.31,0.16,22046
-0.94,0.31,0.16,22054
-0.94,0.31,0.16,22063
-0.94,0.31,0.16,22069
-0.94,0.31,0.15,22079
-0.94,0.31,0.15,22086
-0.94,0.31,0.16,22095
-0.94,0.31,0.15,22103
-0.94,0.31,0.15,22111
-0.94,0.31,0.15,22121
-0.94,0.31,0.15,22129
-0.94,0.31,0.15,22138
-0.94,0.31,0.15,22146
-0.94,0.31,0.15,22155
-0.94,0.31,0.15,22165
-0.94,0.31,0.15,22172
-0.94,0.31,0.15,22181
-0.94,0.31,0.15,22189
-0.94,0.31,0.15,22199
-0.94,0.31,0.15,22207
-0.94,0.31,0.15,22215
-0.94,0.31,0.16,22224
-0.94,0.31,0.16,22235
-0.94,0.31,0.16,22246
-0.94,0.31,0.16,22251
-0.94,0.31,0.16,22261
-0.94,0.31,0.15,22270
-0.94,0.31,0.15,22277
-0.94,0.31,0.15,22288
-0.94,0.31,0.16,22293
-0.94,0.31,0.16,22302
-0.94,0.31,0.15,22311
-0.94,0.31,0.15,22322
-0.94,0.31,0.15,22332
-0.94,0.31,0.15,22337
-0.94,0.31,0.15,22345
-0.94,0.31,0.15,22354
-0.94,0.31,0.15,22363
-0.94,0.31,0.15,22371
-0.94,0.31,0.15,22380
-0.94,0.31,0.15,22389
-0.94,0.31,0.15,22397
-0.94,0.31,0.15,22406
-0.94,0.31,0.15,22414
-0.94,0.31,0.15,22426
-0.94,0.31,0.15,22436
-0.94,0.31,0.15,22444
-0.94,0.31,0.15,22449
-0.94,0.31,0.15,22458
-0.94,0.31,0.16,22467
-0.94,0.31,0.16,22475
-0.94,0.31,0.15,22484
-0.94,0.31,0.15,22494
-0.94,0.31,0.15,22501
-0.94,0.31,0.15,22510
-0.94,0.31,0.15,22518
-0.94,0.31,0.15,22527
-0.94,0.31,0.15,22536
-0.94,0.31,0.15,22548
-0.94,0.31,0.16,22557
-0.94,0.31,0.15,22562
-0.94,0.31,0.15,22573
-0.94,0.31,0.15,22580
-0.94,0.31,0.15,22591
-0.94,0.31,0.15,22597
-0.94,0.31,0.15,22606
-0.94,0.31,0.15,22616
-0.94,0.31,0.15,22622
-0.94,0.31,0.16,22631
-0.94,0.31,0.16,22640
-0.94,0.31,0.16,22648
-0.94,0.31,0.15,22660
-0.94,0.31,0.15,22666
-0.94,0.31,0.15,22676
-0.94,0.31,0.15,22683
-0.94,0.31,0.15,22692
-0.94,0.31,0.15,22700
-0.94,0.31,0.15,22709
-0.94,0.31,0.15,22717
-0.94,0.31,0.15,22726
-0.94,0.31,0.15,22735
-0.94,0.31,0.16,22745
-0.94,0.31,0.16,22755
-0.94,0.31,0.15,22762
-0.94,0.31,0.15,22771
-0.94,0.31,0.15,22781
-0.94,0.31,0.15,22789
-0.94,0.31,0.15,22798
-0.94,0.31,0.15,22804
-0.94,0.31,0.15,22815
-0.94,0.31,0.15,22821
-0.94,0.31,0.15,22830
-0.94,0.31,0.16,22839
-0.94,0.31,0.16,22847
-0.94,0.31,0.16,22856
-0.94,0.31,0.16,22865
-0.94,0.31,0.16,22873
-0.94,0.31,0.15,22882
-0.94,0.31,0.15,22890
-0.94,0.31,0.15,22899
-0.94,0.31,0.15,22911
-0.94,0.31,0.15,22921
-0.94,0.31,0.16,22927
-0.94,0.31,0.15,22943
-0.94,0.31,0.15,22952
-0.94,0.31,0.15,22962
-0.94,0.31,0.15,22969
-0.94,0.31,0.16,22977
-0.94,0.31,0.16,22986
-0.94,0.31,0.15,22997
-0.94,0.31,0.15,23005
-0.94,0.31,0.15,23013
-0.94,0.31,0.15,23020
-0.94,0.31,0.15,23028
-0.94,0.31,0.15,23037
-0.94,0.31,0.15,23049
-0.94,0.31,0.16,23056
-0.94,0.31,0.16,23065
-0.94,0.31,0.16,23072
-0.94,0.31,0.16,23081
-0.94,0.31,0.15,23089
-0.94,0.31,0.16,23101
-0.94,0.31,0.16,23111
-0.94,0.31,0.15,23116
-0.94,0.31,0.16,23126
-0.94,0.31,0.16,23134
-0.94,0.31,0.16,23141
-0.94,0.31,0.16,23150
-0.94,0.31,0.16,23167
-0.94,0.31,0.15,23176
-0.94,0.31,0.15,23186
-0.94,0.31,0.15,23193
-0.94,0.31,0.15,23202
-0.94,0.31,0.16,23210
-0.94,0.31,0.16,23219
-0.94,0.31,0.15,23229
-0.93,0.31,0.15,23236
-0.94,0.31,0.15,23246
-0.94,0.3,0.15,23255
-0.94,0.3,0.16,23265
-0.94,0.3,0.16,23272
-0.94,0.3,0.16,23289
-0.94,0.31,0.16,23298
-0.94,0.31,0.15,23307
-0.93,0.31,0.15,23314
-0.94,0.31,0.15,23323
-0.94,0.31,0.15,23332
-0.94,0.31,0.15,23340
-0.94,0.31,0.16,23349
-0.94,0.3,0.16,23359
-0.94,0.3,0.16,23369
-0.94,0.3,0.16,23376
